user_id|session_id|link_count|unique_link_count|session_duration_in_s|vid_count|unique_vid_count|total_vid_view
60|236677|97|55|15704|236677|2|18173
60|236729|183|140|3789|236729|4|3769
60|237032|5|4|295|237032|2|331
60|237648|259|174|5877|237648|8|1
60|238179|35|13|1269|238179|4|7210
60|238196|91|53|18799|238196|14|18779
60|238315|6|5|66|238315|2|46
60|238317|16|15|23591|238317|2|23571
60|238647|9|8|373|238647|18|353
60|238809|261|95|3419|238809|13|3399
60|238852|124|46|4367|238852|14|6142
60|238881|524|273|17711|238881|9|17691
60|239133|21|14|5565|239133|11|5545
60|239162|44|16|3443|239162|13|3423
60|239365|83|20|10301|239365|11|1
60|239400|24|20|5780|239400|8|5760
60|239624|204|141|1491|239624|58|1
60|240428|17|8|142|240428|3|24219
60|240578|41|10|7736|240578|20|7716
60|240855|48|28|1165|240855|5|1145
60|240893|7|6|112|240893|2|648
60|240932|178|81|19064|240932|42|19044
60|241169|41|26|15900|241169|64|15883
60|241230|378|262|26649|241230|103|27444
60|241303|17|11|4374|241303|5|4355
60|241496|6|5|155|241496|1|135
60|241499|295|184|33674|241499|118|33654
60|241609|139|93|2089|241609|29|2070
60|241677|5|4|6643|241677|1|6623
60|241739|6|5|1651|241739|1|1631
60|241751|8|5|2198|241751|2|31724
60|241956|76|57|374|241956|17|6383
60|241963|6|5|122|241963|4|7667
60|241981|5|4|40|241981|1|24
60|241982|5|4|34|241982|1|14
60|241988|10|9|6309|241988|1|6289
60|242110|50|25|16320|242110|6|16301
60|242326|8|6|1314|242326|4|3067
60|242334|4|3|55|242334|1|35
60|242335|162|113|14713|242335|1|14693
60|242387|87|58|12116|242387|7|12096
60|242704|26|19|35447|242704|2|35427
60|242893|126|51|33744|242893|3|33724
60|243075|67|30|5758|243075|32|5738
60|243231|23|21|1529|243231|33|1510
60|243244|26|13|13696|243244|4|13677
60|243282|6|4|1683|243282|1|3517
60|243301|11|7|603|243301|3|2549
60|243311|15|10|2521|243311|3|2501
60|243393|18|12|1734|243393|21|1715
60|243423|10|7|4410|243423|4|12333
60|243444|5|4|170|243444|5|150
60|243476|77|23|2065|243476|4|2045
60|243822|5|4|2945|243822|12|6147
60|243843|408|273|8153|243843|1|8133
60|243866|102|35|3741|243866|4|3721
60|244191|112|73|31804|244191|40|31784
60|244374|252|171|26006|244374|3|25987
60|244698|17|11|108|244698|1|1568
60|244941|49|25|4483|244941|4|4463
60|245335|179|136|19385|245335|5|19365
60|245634|17|16|963|245634|11|943
60|245880|101|66|7468|245880|10|7449
60|246375|6|4|486|246375|7|1
60|246381|156|94|31753|246381|28|31733
60|246575|74|22|10787|246575|3|10767
60|246815|18|9|3422|246815|11|13966
60|246852|13|11|7813|246852|3|8558
60|247097|89|30|32408|247097|17|32388
60|247231|8|4|108|247231|5|2385
60|247281|100|76|7901|247281|3|7881
60|247301|18|15|5255|247301|3|5235
60|247427|23|12|1918|247427|4|3331
60|247695|101|54|6652|247695|3|1
60|247756|441|292|18139|247756|13|18120
60|248078|6|4|702|248078|1|682
60|248133|5|4|166|248133|1|146
60|248207|269|194|2224|248207|2|1
60|248244|123|80|3503|248244|4|3483
60|248297|3|2|28|248297|1|1555
60|248303|19|11|25469|248303|7|1
60|248401|5|4|32|248401|2|1
60|248408|126|86|30314|248408|9|30294
60|248779|6|5|44|248779|1|10102
60|248992|269|188|33101|248992|16|33081
60|249118|360|274|3051|249118|6|3031
60|249393|141|108|1633|249393|4|1613
60|249424|99|49|7241|249424|16|7223
60|249469|30|21|11260|249469|20|15810
60|249505|8|7|753|249505|8|1295
60|249509|3|2|40|249509|2|776
60|249510|27|19|8163|249510|120|1
60|249529|7|4|133|249529|16|564
60|249532|6|5|524|249532|28|1
60|249536|7|6|379|249536|33|1
60|249571|4|3|65|249571|25|1437
60|249576|48|41|8934|249576|134|69828
60|249596|378|280|3939|249596|5|1
60|249699|8|7|293|249699|6|544
60|249726|38|21|8852|249726|3|8832
60|249907|3|2|33|249907|2|25326
60|249933|69|53|9954|249933|175|65056
60|249979|26|21|3257|249979|79|1
60|249991|8|7|1045|249991|46|1
60|249994|3|2|37|249994|16|1
60|250024|78|52|11740|250024|212|69597
60|250084|10|6|1212|250084|14|1521
60|250087|12|9|112|250087|2|13915
60|250088|55|35|13425|250088|113|14079
60|250113|17|10|2185|250113|14|2165
60|250209|24|19|2833|250209|73|1
60|250221|31|26|6802|250221|144|1
60|250232|9|7|1739|250232|29|1
60|250484|27|13|2235|250484|81|1
60|250486|96|55|5803|250486|147|1
60|250587|8|6|6175|250587|1|6155
60|250599|57|32|3230|250599|90|3211
60|250643|105|81|29820|250643|7|29798
60|250820|44|25|17651|250820|3|17632
60|251385|125|11|25784|251385|1|31581
60|252473|6|3|237|252473|3|1251
60|252474|6|5|92|252474|3|72
60|252476|6|4|633|252476|3|1
60|253572|39|16|9388|253572|29|9369
60|253916|11|6|5066|253916|6|5047
60|253972|4|3|33|253972|1|1
60|253983|7|5|28620|253983|3|28600
60|255184|17|11|5115|255184|2|5095
60|255516|15|14|29065|255516|1|29046
60|255788|41|19|31265|255788|5|31245
60|256074|34|12|29864|256074|1|29844
60|256266|17|11|13045|256266|4|1
60|256356|16|12|2660|256356|11|1
60|256385|30|13|8821|256385|21|8802
60|256398|44|25|782|256398|59|1
60|256449|37|16|19987|256449|6|19968
60|262333|20|12|2301|262333|21|2281
60|263195|94|17|3569|263195|10|3549
60|356141|131|39|6869|356141|1|1
60|367902|13|9|202|367902|2|1
60|368642|192|50|26738|368642|2|1
60|368857|48|20|1732|368857|6|1
60|368897|42|19|16673|368897|5|1
60|373583|18|8|2497|373583|2|2477
60|374506|190|37|18179|374506|14|1
60|377653|42|16|14457|377653|1|14437
60|386541|89|26|3373|386541|11|3353
60|395769|68|25|19031|395769|3|1
60|401982|69|22|18734|401982|1|18714
60|428145|34|13|2575|428145|2|1
60|432868|34|11|9408|432868|4|1
60|433303|36|16|589|433303|3|570
60|448194|61|21|9793|448194|1|1
60|450132|134|41|3677|450132|2|1
60|463088|17|9|256|463088|2|236
60|463487|40|17|13878|463487|5|1
60|479209|13|7|2005|479209|2|1
60|506221|9|4|401|506221|1|1
60|506265|101|35|11517|506265|2|1
60|507524|20|7|409|507524|1|389
60|507529|20|8|450|507529|1|430
60|527060|106|17|22428|527060|2|22408
60|536352|35|21|3513|536352|3|1
60|542147|17|9|30904|542147|1|1
60|543764|61|38|6194|543764|2|6174
60|544966|24|18|15015|544966|2|1
60|572992|5|3|33|572992|3|1
